Rodada,Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Primeiro estágio,,ter,2014-01-28,19:00 (21:00),Oriente Petrolero bo,1–0,uy Nacional,19.884,Estadio Ramón Aguilera Costas,Enrique Cáceres,Relatório da Partida,Jogo de ida/volta 1 de 2
Primeiro estágio,,ter,2014-01-28,19:15 (23:15),Morelia mx,2–1,co Santa Fe,24.031,Estadio Generalísimo José María Morelos ...,Juan Soto,Relatório da Partida,Jogo de ida/volta 1 de 2
Primeiro estágio,,qua,2014-01-29,19:00 (22:00),Sporting Cristal pe,2–1,br Atl Paranaense,23.752,Estadio Nacional,Enrique Osses,Relatório da Partida,Jogo de ida/volta 1 de 2
Primeiro estágio,,qua,2014-01-29,19:00 (22:00),SD Quito ec,1–0,br Botafogo (RJ),4.123,Estadio Olímpico Atahualpa,Wilmar Roldán,Relatório da Partida,Jogo de ida/volta 1 de 2
Primeiro estágio,,qui,2014-01-30,20:00 (21:00),Univ Chile cl,1–0,py Guaraní,34.569,Estadio Nacional Julio Martínez Prádanos,Martín Vázquez,Relatório da Partida,Jogo de ida/volta 1 de 2
Primeiro estágio,,qui,2014-01-30,20:45 (23:15),Caracas FC ve,0–2,ar Lanús,12.602,Estadio Olímpico,Víctor Carrillo,Relatório da Partida,Jogo de ida/volta 1 de 2
Primeiro estágio,,ter,2014-02-04,21:00,Nacional uy,2–0,bo Oriente Petrolero,23.991,Estadio Gran Parque Central,Carlos Vera,Relatório da Partida,Jogo de ida/volta 2 de 2; Nacional venceu
Primeiro estágio,,ter,2014-02-04,20:30 (23:30),Santa Fe co,1–0,mx Morelia,27.566,Estadio Nemesio Camacho El Campín,Raúl Orozco,Relatório da Partida,Jogo de ida/volta 2 de 2; Santa Fe venceu
Primeiro estágio,,qui,2014-02-06,19:30 (20:30),Guaraní py,2–3,cl Univ Chile,4.410,Estadio Rogelio Lorenzo Livieres,Pablo Díaz,Relatório da Partida,Jogo de ida/volta 2 de 2; Univ Chile venceu
Primeiro estágio,,qua,2014-02-05,22:00,Botafogo (RJ) br,4–0,ec SD Quito,45.154,Estadio Jornalista Mário Filho,Silvio Trucco,Relatório da Partida,Jogo de ida/volta 2 de 2; Botafogo (RJ) venceu
Primeiro estágio,,qua,2014-02-05,22:00,Atl Paranaense br,(5) 2–1 (4),pe Sporting Cristal,9.156,Estádio Durival de Brito e Silva,Antonio Arias,Relatório da Partida,Jogo de ida/volta 2 de 2; Atl Paranaense venceu; Atl Paranaense venceu por
Primeiro estágio,,qui,2014-02-06,22:00 (23:00),Lanús ar,1–0,ve Caracas FC,19.789,Estadio Ciudad de Lanús,Sandro Ricci,Relatório da Partida,Jogo de ida/volta 2 de 2; Lanús venceu
Segunda fase,1,ter,2014-02-11,20:00,Botafogo (RJ) br,2–0,ar San Lorenzo,28.116,Estadio Jornalista Mário Filho,Roberto Silvera,Relatório da Partida,
