Rodada,Data,Sem,Edicao,Casa,Visitante,Nacionalidade Casa,Nacionalidade Visitante,Resultado
Oitavas de final,2023-08-01,,2023,Argentinos Jun,Fluminense,ar,br,
Oitavas de final,2023-08-01,,2023,Bolívar,Atl Paranaense,bo,br,
Oitavas de final,2023-08-01,,2023,River Plate,Internacional,ar,br,
Oitavas de final,2023-08-03,,2023,Nacional,Racing Club,co,ar,
Oitavas de final,2023-08-02,,2023,Pereira,Independiente,co,ec,
Oitavas de final,2023-08-02,,2023,Nacional,Boca Juniors,uy,ar,
Oitavas de final,2023-08-02,,2023,Atlético Mineiro,Palmeiras,br,br,
Oitavas de final,2023-08-03,,2023,Flamengo,Olimpia,br,py,
Oitavas de final,2023-08-08,,2023,Fluminense,Argentinos Jun,br,ar,
Oitavas de final,2023-08-08,,2023,Internacional,River Plate,br,ar,
Oitavas de final,2023-08-08,,2023,Atl Paranaense,Bolívar,br,bo,
Oitavas de final,2023-08-10,,2023,Racing Club,Nacional,ar,co,
Oitavas de final,2023-08-09,,2023,Independiente,Pereira,ec,co,
Oitavas de final,2023-08-09,,2023,Boca Juniors,Nacional,ar,uy,
Oitavas de final,2023-08-09,,2023,Palmeiras,Atlético Mineiro,br,br,
Oitavas de final,2023-08-10,,2023,Olimpia,Flamengo,py,br,
