Rodada,Data,Sem,Edicao,Casa,Visitante,Nacionalidade Casa,Nacionalidade Visitante,Resultado,Gols Casa,Gols Visitante
Fase de Grupos,2014-01-28,1,2014,Oriente Petrolero,Nacional,bo,uy,1,1,0
Fase de Grupos,2014-01-28,1,2014,Morelia,Santa Fe,mx,co,1,2,1
Fase de Grupos,2014-01-29,1,2014,Sporting Cristal,Atl Paranaense,pe,br,1,2,1
Fase de Grupos,2014-01-29,1,2014,SD Quito,Botafogo (RJ),ec,br,1,1,0
Fase de Grupos,2014-01-30,1,2014,Univ Chile,Guaraní,cl,py,1,1,0
Fase de Grupos,2014-01-30,1,2014,Caracas FC,Lanús,ve,ar,-1,0,2
Fase de Grupos,2014-02-04,1,2014,Nacional,Oriente Petrolero,uy,bo,1,2,0
Fase de Grupos,2014-02-04,1,2014,Santa Fe,Morelia,co,mx,1,1,0
Fase de Grupos,2014-02-06,1,2014,Guaraní,Univ Chile,py,cl,-1,2,3
Fase de Grupos,2014-02-05,1,2014,Botafogo (RJ),SD Quito,br,ec,1,4,0
Fase de Grupos,2014-02-05,1,2014,Atl Paranaense,Sporting Cristal,br,pe,1,2,1
Fase de Grupos,2014-02-06,1,2014,Lanús,Caracas FC,ar,ve,1,1,0
Fase de Grupos,2014-02-11,1,2014,Botafogo (RJ),San Lorenzo,br,ar,1,2,0
Fase de Grupos,2014-02-12,1,2014,Anzoátegui,Peñarol,ve,uy,0,1,1
Fase de Grupos,2014-02-11,1,2014,Santos,Arsenal,mx,ar,1,1,0
Fase de Grupos,2014-02-11,1,2014,Zamora,Atlético Mineiro,ve,br,-1,0,1
Fase de Grupos,2014-02-11,1,2014,Universitario,Vélez Sarsf,pe,ar,-1,0,1
Fase de Grupos,2014-02-11,1,2014,Santa Fe,Nacional,co,py,1,3,1
Fase de Grupos,2014-02-12,1,2014,León,Flamengo,mx,br,1,2,1
Fase de Grupos,2014-02-13,1,2014,Univ Chile,Defensor,cl,uy,1,1,0
Fase de Grupos,2014-02-12,1,2014,Real Garcilaso,Cruzeiro,pe,br,1,2,1
Fase de Grupos,2014-02-13,1,2014,Atl Paranaense,The Strongest,br,bo,1,1,0
Fase de Grupos,2014-02-12,1,2014,AD Cali,Cerro Porteño,co,py,1,1,0
